Gujrati,English
જાણી જોઈને,Intentionally
મનોવિજ્ologistાન,Psychologist
ચોરવું,Squabble
સંશ્લેષણ,Synthesis
દોષિત,Convicted
પ્રદેશો,Regions
વિકૃત,Deformed
ઇરાદાપૂર્વક,Intentional
સમજવું,Understand
થોડું,Tiny
Coveredંકડી,Covered
વિશ્વાસ,Confidence
તત્વો,Elements
સંબંધીઓ,Relatives
મધ્યમ,Intermediate
ભાર મૂકવો,Emphasized
વધુ પડતી ફીશિંગ,Overfishing
તારક,Staring
ફેશનો,Fashions
ફેંકી દેવું,Thrown
અનુપજન આવે છે,Emulates
ધસારો,Rush
વીમા,Insurance
નિયંત્રણ,Control
ઉપદેશક,Instructive
વ્યક્તિગતતા,Individuality
બંધારણ,Constitution
હરિત નાટકો,chlorophyll
ઉત્પાદન,Manufacturing
અદૃશ્ય થઈ જવું,Disappeared
વાસ્તવિકતા,Reality
આર્થિક રીતે,Economically
ગુંડો,Clot
બહાર કા emવું,Emit
પુરાવો,Evidence
પ્રશ્ન,Question
વિશ્વ,Universe
ફોકસ,Focus
આત્યંતિક,Extreme
મુખ્ય,Main
ખરેખર,Really
અનુમાન,Forecast
કામચલાઉ,Temporary
વૃદ્ધિ,Growth
દુર્દશા,Predicament
સંશોધનકારો,Researchers
પડ,Declines
પદ્ધતિ,System
અનિવાર્ય,Inevitable
દાખલાઓ,Patterns
ઓળખાયેલ,Identified
એકતરફી,Convergence
જુબાની,Deposition
અજાયબી,Surprised
વાઇરસ,Virus
જટિલ,Complicated
સંપ્રદાય,Prescription
આકર્ષક,Sleek
વારંવાર,Frequently
જળાશય,Reservoir
પાછળથી,Later
મોકલવું,Send
ફોલ્ડર,Folder
મુખ્ય,Chief
ચિત્ર,Portrait
કાયદેસર,Legitimate
સાહસ,Enterprise
વર્તન,Behaviour
નક્કી કરવું,Determine
દરિયાપાર,Overseas
તનાવ,Tension
પ્રીમિયમ,Premium
લોકશાહી,Democracy
શંકા,Distrust
ઇરાદો,Intend
ઘા,Baffle
પત્રકાર,Journalist
પ્રારંભિક,Initial
હેલ્મેટ,Helmet
બબલ,Bubble
સમીકરણો,Equations
શરત,Conditions
લાયક હોવું,Qualifies
પુસ્તકાલય,Library
બાકી,Remaining
સાવચેતીભર્યું,Cautionary
ધારી શકાય તેવું,Predictable
સ્વત્વાર્પણ,Acclimate
વિવિધ પ્રકારનું,Diverse
પરિમાણ,Magnitude
ચક્કર,Circling
પાઉન્ડ,Pounds
ચલો,Variables
હદ,Bounds
પ્રાપ્ત,Obtaining
વાતાવરણીય,Atmospheric
પ્રકાશિત,Published
વાહન,Trajectory
સો,Hundred
ધીરે ધીરે,Gradually
સામાજિક આર્થિક,socioeconomic
છાંટા,Splashes
ખેંચાણવાળું,Stretching
સળગતું,Burning
દેશ,Countries
સ્થાન,Sitting
